time,epost,favoritt,oppgave,visning,klikk,besokende,engang,totilfem,merennfem
2021-06-13 13:18:09.883782,-,16,1,1,289,244,213,31,0
2021-06-13 13:18:56.702064,-,16,1,1,289,246,215,31,0
2021-06-13 13:21:13.708220,-,16,1,1,295,249,217,32,0
2021-06-13 13:22:53.194509,-,16,1,1,296,249,217,32,0
2021-06-13 13:23:24.526967,-,16,1,1,296,249,217,32,0
2021-06-13 13:25:28.398335,-,16,1,1,299,252,220,32,0
2021-06-13 13:26:14.653290,-,16,1,1,301,252,220,32,0
2021-06-13 13:41:57.568679,-,16,1,1,315,267,234,33,0
2021-06-13 13:57:13.661024,-,17,1,1,344,293,257,36,0
2021-06-13 14:12:30.300440,-,19,1,1,358,307,271,36,0
2021-06-13 14:27:47.052686,-,20,1,1,384,325,285,39,1
2021-06-13 14:43:04.269731,-,20,1,1,397,336,295,40,1
2021-06-13 14:58:21.178725,-,20,1,1,417,350,306,43,1
2021-06-13 15:13:40.828244,-,21,1,1,431,359,311,47,1
2021-06-13 15:28:57.387166,-,22,1,1,445,370,320,49,1
2021-06-13 15:44:13.871007,-,23,1,1,456,379,327,51,1
2021-06-13 15:59:30.042007,-,24,1,1,467,387,333,53,1
2021-06-13 16:14:47.414117,-,24,1,1,481,401,347,53,1
2021-06-13 16:30:04.409031,-,25,1,1,494,414,360,53,1
2021-06-13 16:45:21.001319,-,28,1,1,513,430,374,55,1
2021-06-13 17:00:38.504994,-,30,1,1,526,441,383,57,1
2021-06-13 17:15:58.207341,-,32,1,1,544,453,390,62,1
2021-06-13 17:31:15.104938,-,33,1,1,561,467,402,64,1
2021-06-13 17:46:32.337260,-,34,1,1,577,481,415,65,1
2021-06-13 18:01:49.105451,-,34,1,1,584,488,422,65,1
2021-06-13 18:17:06.103201,-,34,1,1,594,497,430,66,1
2021-06-13 18:32:23.793619,-,34,1,1,602,503,434,68,1
2021-06-13 18:47:39.916950,-,36,1,1,614,513,442,70,1
2021-06-13 19:02:55.597547,-,36,1,1,628,526,454,71,1
2021-06-13 19:18:11.873902,-,36,1,1,642,538,464,73,1
2021-06-13 19:33:32.809225,-,36,1,1,652,546,471,74,1
2021-06-13 19:48:50.067749,-,37,1,1,662,554,477,76,1
